epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,44672.8,0.50389,0.94701,0.97809,0.35289,0.75783,0.34971,0.30207,0.66931,1.34822,1.13292,0.000304306,0.000304306,0.000304306
161,44951.6,0.50701,0.97845,0.99012,0.35054,0.76049,0.34487,0.29605,0.68037,1.36267,1.14875,0.000297232,0.000297232,0.000297232
162,45230.4,0.50719,0.96061,0.9744,0.34857,0.78521,0.3488,0.30266,0.69,1.32945,1.16661,0.000290158,0.000290158,0.000290158
163,45509.6,0.50596,0.95971,0.97034,0.35594,0.80715,0.35609,0.3106,0.68885,1.29362,1.17233,0.000283085,0.000283085,0.000283085
164,45788.5,0.51573,0.95238,0.98625,0.34363,0.75996,0.35238,0.30426,0.6937,1.34835,1.1733,0.000276011,0.000276011,0.000276011
165,46067.7,0.48144,0.97735,0.96374,0.34959,0.76204,0.34301,0.2984,0.67589,1.30891,1.16292,0.000268938,0.000268938,0.000268938
166,46346.6,0.50515,0.9687,0.97418,0.34727,0.76075,0.35043,0.30557,0.67474,1.32397,1.1617,0.000261864,0.000261864,0.000261864
167,46625.9,0.5014,0.90662,0.97251,0.35485,0.76138,0.35388,0.30812,0.6708,1.35445,1.14515,0.000254791,0.000254791,0.000254791
168,46905.5,0.48721,0.93813,0.96618,0.34414,0.78848,0.35506,0.31104,0.68439,1.3831,1.16181,0.000247717,0.000247717,0.000247717
169,47184.5,0.49008,0.96998,0.97085,0.35006,0.75537,0.3484,0.30529,0.67697,1.3866,1.16125,0.000240644,0.000240644,0.000240644
170,47464.1,0.48053,0.97378,0.96866,0.35686,0.75142,0.34419,0.3014,0.68869,1.41496,1.16864,0.00023357,0.00023357,0.00023357
171,47742.5,0.48371,0.93216,0.9657,0.34996,0.74746,0.34989,0.30533,0.67572,1.37648,1.15752,0.000226497,0.000226497,0.000226497
172,48021.6,0.47658,0.92397,0.96093,0.34833,0.74886,0.35133,0.30619,0.67997,1.40145,1.17057,0.000219423,0.000219423,0.000219423
173,48300.2,0.47025,0.94145,0.95865,0.35838,0.78257,0.34666,0.30212,0.67719,1.40532,1.17208,0.000212349,0.000212349,0.000212349
174,48579.6,0.48332,0.9437,0.96834,0.35449,0.78048,0.35496,0.30962,0.67915,1.40617,1.17255,0.000205276,0.000205276,0.000205276
175,48858.5,0.48059,0.9256,0.96709,0.35825,0.78226,0.34674,0.30494,0.66403,1.42661,1.15373,0.000198202,0.000198202,0.000198202
176,49137.2,0.46438,0.91983,0.9578,0.35957,0.7604,0.34065,0.2969,0.66591,1.3694,1.15345,0.000191129,0.000191129,0.000191129
